episode,total_steps,episode_reward,reward_ma5,epsilon,episode_steps,mean_loss,elapsed_minutes
31,27602,-21.0,-21.0,0.8560822709551227,820,0.006973445417874822,1.3611766815185546
32,28537,-19.0,-20.6,0.851801859600347,935,0.005900770419577742,1.3952890396118165
33,29590,-19.0,-20.2,0.8475428503023453,1053,0.005725093074300072,1.4339012384414673
34,30352,-21.0,-20.2,0.8433051360508336,762,0.005618365121507378,1.463160522778829
35,31445,-21.0,-20.2,0.8390886103705794,1093,0.004159782508425421,1.5030312140782673
36,32524,-19.0,-19.8,0.8348931673187264,1079,0.004669811150260675,1.5426950335502625
37,33314,-21.0,-20.2,0.8307187014821328,790,0.004063508130720347,1.5725148479143778
38,34185,-21.0,-20.6,0.8265651079747222,871,0.005070492655107989,1.6050759275754294
39,35172,-20.0,-20.4,0.8224322824348486,987,0.004498893746436835,1.6411569674809774
40,35990,-21.0,-20.4,0.8183201210226743,818,0.004314086979730728,1.6719263116518657
41,36903,-21.0,-20.8,0.8142285204175609,913,0.006830529853224314,1.7059873501459757
42,37753,-21.0,-20.8,0.810157377815473,850,0.004273615411713396,1.7378777782122294
43,38544,-21.0,-20.8,0.8061065909263957,791,0.004533040944035306,1.7676121870676675
44,39463,-20.0,-20.8,0.8020760579717637,919,0.00539046322836835,1.8022786180178325
45,40536,-18.0,-20.2,0.798065677681905,1073,0.004434543551862968,1.8420176029205322
46,41589,-19.0,-19.8,0.7940753492934954,1053,0.003899969590612919,1.8814144293467203
47,42575,-20.0,-19.6,0.7901049725470279,986,0.0043584964874990115,1.9183160026868185
48,43476,-20.0,-19.4,0.7861544476842928,901,0.005203517598159373,1.9525946577390034
49,44344,-20.0,-19.4,0.7822236754458713,868,0.005313865380591154,1.9855100870132447
50,45304,-21.0,-20.0,0.778312557068642,960,0.004134012949911418,2.022002637386322
51,46126,-21.0,-20.4,0.7744209942832988,822,0.007496274873829396,2.0533393184343973
52,47070,-21.0,-20.6,0.7705488893118823,944,0.005307245511499725,2.0889921307563784
53,48095,-20.0,-20.6,0.7666961448653229,1025,0.005174555270315295,2.1274141629536945
54,49058,-21.0,-20.8,0.7628626641409962,963,0.004720287011017664,2.163976240158081
55,49839,-21.0,-20.8,0.7590483508202912,781,0.007197648642147378,2.194109094142914
56,50735,-20.0,-20.6,0.7552531090661897,896,0.0024727489516992917,2.228252685070038
57,51558,-21.0,-20.6,0.7514768435208588,823,0.003762280430396238,2.2600992560386657
58,52426,-20.0,-20.6,0.7477194593032545,868,0.003260960595951239,2.293305484453837
59,53235,-21.0,-20.6,0.7439808620067382,809,0.003350840267107697,2.3243909001350405
60,54170,-19.0,-20.2,0.7402609576967045,935,0.002257093523987864,2.360135773817698
61,55217,-20.0,-20.2,0.736559652908221,1047,0.004674989304837206,2.3999171018600465
62,56058,-20.0,-20.0,0.7328768546436799,841,0.0054854909016631564,2.432306504249573
63,56850,-21.0,-20.2,0.7292124703704616,792,0.005766800940373379,2.4629637161890665
64,57883,-19.0,-19.8,0.7255664080186093,1033,0.004421227115271058,2.5018005053202312
65,58724,-20.0,-20.0,0.7219385759785162,841,0.0035496972174135694,2.5343754569689434
66,59593,-21.0,-20.2,0.7183288830986236,869,0.0031580279918155775,2.568081283569336
67,60538,-21.0,-20.4,0.7147372386831305,945,0.0040521307919796955,2.6044739723205566
68,61634,-19.0,-20.0,0.7111635524897149,1096,0.0031698562444121207,2.646086045106252
69,62713,-19.0,-20.0,0.7076077347272662,1079,0.003736108676525031,2.6871840159098306
70,63563,-21.0,-20.2,0.7040696960536299,850,0.005136151813925573,2.720165173212687
71,64399,-20.0,-20.0,0.7005493475733617,836,0.003185541603522616,2.752556014060974
72,65312,-20.0,-19.8,0.697046600835495,913,0.0043065806955291525,2.7880134622255963
